Left Side,Right Side,Support,Confidence,Lift
frozenset({'spaghetti'}),frozenset({'nan'}),0.17411011865084655,1.0,1.0001333333333333
frozenset({'milk'}),frozenset({'nan'}),0.12958272230369283,1.0,1.0001333333333333
frozenset({'nan'}),frozenset({'chocolate'}),0.1638448206905746,0.1638666666666667,1.0001333333333333
frozenset({'nan'}),frozenset({'spaghetti'}),0.17411011865084655,0.17413333333333333,1.0001333333333333
frozenset({'eggs'}),frozenset({'nan'}),0.17970937208372217,1.0,1.0001333333333333
frozenset({'nan'}),frozenset({'eggs'}),0.17970937208372217,0.17973333333333333,1.0001333333333333
frozenset({'french fries'}),frozenset({'nan'}),0.1709105452606319,1.0,1.0001333333333333
frozenset({'nan'}),frozenset({'french fries'}),0.1709105452606319,0.17093333333333333,1.0001333333333333
frozenset({'chocolate'}),frozenset({'nan'}),0.1638448206905746,1.0,1.0001333333333333
frozenset({'nan'}),frozenset({'milk'}),0.12958272230369283,0.1296,1.0001333333333333
frozenset(),"frozenset({'nan', 'spaghetti'})",0.17411011865084655,0.17411011865084655,1.0
frozenset(),"frozenset({'nan', 'mineral water'})",0.23823490201306494,0.23823490201306494,1.0
frozenset(),"frozenset({'chocolate', 'nan'})",0.1638448206905746,0.1638448206905746,1.0
frozenset(),"frozenset({'nan', 'milk'})",0.12958272230369283,0.12958272230369283,1.0
frozenset(),"frozenset({'green tea', 'nan'})",0.13198240234635383,0.13198240234635383,1.0
frozenset(),"frozenset({'nan', 'french fries'})",0.1709105452606319,0.1709105452606319,1.0
frozenset(),"frozenset({'eggs', 'nan'})",0.17970937208372217,0.17970937208372217,1.0
frozenset({'mineral water'}),frozenset({'nan'}),0.23823490201306494,0.999440715883669,0.9995739746457868
frozenset({'nan'}),frozenset({'mineral water'}),0.23823490201306494,0.23826666666666668,0.9995739746457868
frozenset({'nan'}),frozenset({'green tea'}),0.13198240234635383,0.132,0.9991241170534815
frozenset({'green tea'}),frozenset({'nan'}),0.13198240234635383,0.9989909182643796,0.9991241170534815
